"You will be transferred to jovepay.com to complete your purchase when using this payment method.","使用此付款方式时，您将被转至 jovepay.com 以完成购买。"
"Pay with JOVEpay","使用 JOVEpay 付款"
"JOVEpay","JOVEpay 加密支付"
"JOVEpay Payment Method","JOVEpay 付款方式"
"Continue","继续"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","JOVEpay 付款失败或取消后，订单已取消。"
"Order marked canceled after JOVEpay payment failure or cancel.","JOVEpay 付款失败或取消后，订单已标记为取消。"
"Invalid signature.","签名无效。"
"Invalid IPN payload.","IPN 负载无效。"
"Missing order identifier.","缺少订单标识符。"
"Order is no longer awaiting payment.","订单不再等待付款。"
"Currency code does not match.","货币代码不匹配。"
"Amount paid is less than order total.","已付金额低于订单总额。"
"Unable to process IPN.","无法处理 IPN。"
"Cannot create an invoice without products.","没有产品无法创建发票。"
"Notified customer about invoice #%1.","已通知客户有关发票 #%1。"
"JOVEpay payment status: failed.","JOVEpay 付款状态：失败。"
"JOVEpay payment status: %1","JOVEpay 付款状态：%1"
"%1 = %2","%1 = %2"
"Error in payment!","付款出错！"
"Enabled","已启用"
"Testnet Mode","测试网模式"
"Enable to process payments on the JOVEpay test network.","启用以在 JOVEpay 测试网络上处理付款。"
"Dark Mode Checkout","深色模式结账"
"Use the dark theme on the JOVEpay hosted payment page.","在 JOVEpay 托管付款页面上使用深色主题。"
"Title","标题"
"Payment method title shown to customers at checkout.","结账时向客户显示的付款方式标题。"
"Merchant ID","商户 ID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","可在 jovepay.com 的 Payment Settings → API Keys 中找到。升级后请重新保存以加密该值。"
"IPN Secret","IPN 密钥"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","可在 jovepay.com 的 Payment Settings → Instant Payment Notifications 中找到。升级后请重新保存以加密该值。"
"Payment from Applicable Countries","适用国家/地区的付款"
"Payment from Specific Countries","特定国家/地区的付款"
"New Order Status","新订单状态"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Magento 结账完成后、JOVEpay 确认付款之前的状态。"
"Paid Order Status","已付款订单状态"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","JOVEpay 确认资金并通过 IPN 通知 Magento 之后的状态。"
"Debug","调试"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","将详细的 JOVEpay IPN 消息写入 var/log/jovepay.log。"
