"You will be transferred to jovepay.com to complete your purchase when using this payment method.","이 결제 수단을 사용하면 구매를 완료하기 위해 jovepay.com으로 이동합니다."
"Pay with JOVEpay","JOVEpay로 결제"
"JOVEpay","JOVEpay 암호화폐 결제"
"JOVEpay Payment Method","JOVEpay 결제 수단"
"Continue","계속"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","JOVEpay 결제 실패 또는 취소 후 주문이 취소되었습니다."
"Order marked canceled after JOVEpay payment failure or cancel.","JOVEpay 결제 실패 또는 취소 후 주문이 취소됨으로 표시되었습니다."
"Invalid signature.","잘못된 서명입니다."
"Invalid IPN payload.","잘못된 IPN 페이로드입니다."
"Missing order identifier.","주문 식별자가 없습니다."
"Order is no longer awaiting payment.","주문이 더 이상 결제 대기 중이 아닙니다."
"Currency code does not match.","통화 코드가 일치하지 않습니다."
"Amount paid is less than order total.","결제 금액이 주문 총액보다 적습니다."
"Unable to process IPN.","IPN을 처리할 수 없습니다."
"Cannot create an invoice without products.","상품 없이 인보이스를 생성할 수 없습니다."
"Notified customer about invoice #%1.","인보이스 #%1에 대해 고객에게 알렸습니다."
"JOVEpay payment status: failed.","JOVEpay 결제 상태: 실패"
"JOVEpay payment status: %1","JOVEpay 결제 상태: %1"
"%1 = %2","%1 = %2"
"Error in payment!","결제 오류!"
"Enabled","사용"
"Testnet Mode","테스트넷 모드"
"Enable to process payments on the JOVEpay test network.","JOVEpay 테스트 네트워크에서 결제를 처리하려면 활성화하세요."
"Dark Mode Checkout","다크 모드 체크아웃"
"Use the dark theme on the JOVEpay hosted payment page.","JOVEpay 호스팅 결제 페이지에서 다크 테마를 사용합니다."
"Title","제목"
"Payment method title shown to customers at checkout.","체크아웃에서 고객에게 표시되는 결제 수단 제목입니다."
"Merchant ID","가맹점 ID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","jovepay.com의 Payment Settings → API Keys에서 확인할 수 있습니다. 업그레이드 후 값을 암호화하려면 다시 저장하세요."
"IPN Secret","IPN 시크릿"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","jovepay.com의 Payment Settings → Instant Payment Notifications에서 확인할 수 있습니다. 업그레이드 후 값을 암호화하려면 다시 저장하세요."
"Payment from Applicable Countries","해당 국가에서의 결제"
"Payment from Specific Countries","특정 국가에서의 결제"
"New Order Status","신규 주문 상태"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Magento 체크아웃 완료 후 JOVEpay가 결제를 확인하기 전의 상태입니다."
"Paid Order Status","결제 완료 주문 상태"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","JOVEpay가 자금을 확인하고 IPN으로 Magento에 알린 후의 상태입니다."
"Debug","디버그"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","자세한 JOVEpay IPN 메시지를 var/log/jovepay.log에 기록합니다."
