"You will be transferred to jovepay.com to complete your purchase when using this payment method.","Sarai trasferito su jovepay.com per completare l'acquisto quando usi questo metodo di pagamento."
"Pay with JOVEpay","Paga con JOVEpay"
"JOVEpay","Pagamenti crypto JOVEpay"
"JOVEpay Payment Method","Metodo di pagamento JOVEpay"
"Continue","Continua"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Ordine annullato dopo errore o annullamento del pagamento JOVEpay."
"Order marked canceled after JOVEpay payment failure or cancel.","Ordine contrassegnato come annullato dopo errore o annullamento del pagamento JOVEpay."
"Invalid signature.","Firma non valida."
"Invalid IPN payload.","Payload IPN non valido."
"Missing order identifier.","Identificatore ordine mancante."
"Order is no longer awaiting payment.","L'ordine non è più in attesa di pagamento."
"Currency code does not match.","Il codice valuta non corrisponde."
"Amount paid is less than order total.","L'importo pagato è inferiore al totale dell'ordine."
"Unable to process IPN.","Impossibile elaborare l'IPN."
"Cannot create an invoice without products.","Impossibile creare una fattura senza prodotti."
"Notified customer about invoice #%1.","Cliente notificato sulla fattura #%1."
"JOVEpay payment status: failed.","Stato pagamento JOVEpay: non riuscito."
"JOVEpay payment status: %1","Stato pagamento JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","Errore nel pagamento!"
"Enabled","Abilitato"
"Testnet Mode","Modalità Testnet"
"Enable to process payments on the JOVEpay test network.","Abilita per elaborare i pagamenti sulla rete di test JOVEpay."
"Dark Mode Checkout","Checkout in modalità scura"
"Use the dark theme on the JOVEpay hosted payment page.","Usa il tema scuro sulla pagina di pagamento ospitata da JOVEpay."
"Title","Titolo"
"Payment method title shown to customers at checkout.","Titolo del metodo di pagamento mostrato ai clienti al checkout."
"Merchant ID","ID commerciante"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Trovalo su jovepay.com in Payment Settings → API Keys. Salva di nuovo dopo l'aggiornamento per crittografare il valore."
"IPN Secret","Segreto IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Trovalo su jovepay.com in Payment Settings → Instant Payment Notifications. Salva di nuovo dopo l'aggiornamento per crittografare il valore."
"Payment from Applicable Countries","Pagamento da paesi applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"New Order Status","Stato nuovo ordine"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Stato dopo il completamento del checkout Magento e prima che JOVEpay confermi il pagamento."
"Paid Order Status","Stato ordine pagato"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Stato dopo che JOVEpay conferma i fondi e notifica Magento tramite IPN."
"Debug","Debug"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Scrivi messaggi IPN JOVEpay dettagliati in var/log/jovepay.log."
