"You will be transferred to jovepay.com to complete your purchase when using this payment method.","इस भुगतान विधि का उपयोग करते समय खरीदारी पूरी करने के लिए आपको jovepay.com पर भेजा जाएगा।"
"Pay with JOVEpay","JOVEpay से भुगतान करें"
"JOVEpay","JOVEpay क्रिप्टो भुगतान"
"JOVEpay Payment Method","JOVEpay भुगतान विधि"
"Continue","जारी रखें"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","JOVEpay भुगतान विफलता या रद्द होने के बाद ऑर्डर रद्द कर दिया गया।"
"Order marked canceled after JOVEpay payment failure or cancel.","JOVEpay भुगतान विफलता या रद्द होने के बाद ऑर्डर को रद्द के रूप में चिह्नित किया गया।"
"Invalid signature.","अमान्य हस्ताक्षर।"
"Invalid IPN payload.","अमान्य IPN पेलोड।"
"Missing order identifier.","ऑर्डर पहचानकर्ता अनुपलब्ध है।"
"Order is no longer awaiting payment.","ऑर्डर अब भुगतान की प्रतीक्षा में नहीं है।"
"Currency code does not match.","मुद्रा कोड मेल नहीं खाता।"
"Amount paid is less than order total.","भुगतान की गई राशि ऑर्डर कुल से कम है।"
"Unable to process IPN.","IPN प्रोसेस नहीं किया जा सकता।"
"Cannot create an invoice without products.","उत्पादों के बिना इनवॉइस नहीं बनाई जा सकती।"
"Notified customer about invoice #%1.","ग्राहक को इनवॉइस #%1 के बारे में सूचित किया गया।"
"JOVEpay payment status: failed.","JOVEpay भुगतान स्थिति: विफल।"
"JOVEpay payment status: %1","JOVEpay भुगतान स्थिति: %1"
"%1 = %2","%1 = %2"
"Error in payment!","भुगतान में त्रुटि!"
"Enabled","सक्षम"
"Testnet Mode","टेस्टनेट मोड"
"Enable to process payments on the JOVEpay test network.","JOVEpay टेस्ट नेटवर्क पर भुगतान प्रोसेस करने के लिए सक्षम करें।"
"Dark Mode Checkout","डार्क मोड चेकआउट"
"Use the dark theme on the JOVEpay hosted payment page.","JOVEpay होस्टेड भुगतान पृष्ठ पर डार्क थीम का उपयोग करें।"
"Title","शीर्षक"
"Payment method title shown to customers at checkout.","चेकआउट पर ग्राहकों को दिखाया जाने वाला भुगतान विधि शीर्षक।"
"Merchant ID","मर्चेंट ID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","इसे jovepay.com पर Payment Settings → API Keys में खोजें। मान को एन्क्रिप्ट करने के लिए अपग्रेड के बाद फिर से सहेजें।"
"IPN Secret","IPN सीक्रेट"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","इसे jovepay.com पर Payment Settings → Instant Payment Notifications में खोजें। मान को एन्क्रिप्ट करने के लिए अपग्रेड के बाद फिर से सहेजें।"
"Payment from Applicable Countries","लागू देशों से भुगतान"
"Payment from Specific Countries","विशिष्ट देशों से भुगतान"
"New Order Status","नए ऑर्डर की स्थिति"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Magento चेकआउट पूरा होने के बाद और JOVEpay भुगतान की पुष्टि करने से पहले की स्थिति।"
"Paid Order Status","भुगतान किए गए ऑर्डर की स्थिति"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","JOVEpay द्वारा धन की पुष्टि और IPN के माध्यम से Magento को सूचित करने के बाद की स्थिति।"
"Debug","डिबग"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","विस्तृत JOVEpay IPN संदेश var/log/jovepay.log में लिखें।"
