"You will be transferred to jovepay.com to complete your purchase when using this payment method.","Vous serez redirigé vers jovepay.com pour finaliser votre achat lors de l'utilisation de ce mode de paiement."
"Pay with JOVEpay","Payer avec JOVEpay"
"JOVEpay","Paiements crypto JOVEpay"
"JOVEpay Payment Method","Mode de paiement JOVEpay"
"Continue","Continuer"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Commande annulée après un échec ou une annulation du paiement JOVEpay."
"Order marked canceled after JOVEpay payment failure or cancel.","Commande marquée comme annulée après un échec ou une annulation du paiement JOVEpay."
"Invalid signature.","Signature non valide."
"Invalid IPN payload.","Charge utile IPN non valide."
"Missing order identifier.","Identifiant de commande manquant."
"Order is no longer awaiting payment.","La commande n'est plus en attente de paiement."
"Currency code does not match.","Le code devise ne correspond pas."
"Amount paid is less than order total.","Le montant payé est inférieur au total de la commande."
"Unable to process IPN.","Impossible de traiter l'IPN."
"Cannot create an invoice without products.","Impossible de créer une facture sans produits."
"Notified customer about invoice #%1.","Client informé de la facture #%1."
"JOVEpay payment status: failed.","Statut du paiement JOVEpay : échoué."
"JOVEpay payment status: %1","Statut du paiement JOVEpay : %1"
"%1 = %2","%1 = %2"
"Error in payment!","Erreur de paiement !"
"Enabled","Activé"
"Testnet Mode","Mode Testnet"
"Enable to process payments on the JOVEpay test network.","Activez pour traiter les paiements sur le réseau de test JOVEpay."
"Dark Mode Checkout","Checkout en mode sombre"
"Use the dark theme on the JOVEpay hosted payment page.","Utiliser le thème sombre sur la page de paiement hébergée JOVEpay."
"Title","Titre"
"Payment method title shown to customers at checkout.","Titre du mode de paiement affiché aux clients lors du checkout."
"Merchant ID","ID marchand"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Trouvez ceci sur jovepay.com sous Payment Settings → API Keys. Enregistrez à nouveau après la mise à niveau pour chiffrer la valeur."
"IPN Secret","Secret IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Trouvez ceci sur jovepay.com sous Payment Settings → Instant Payment Notifications. Enregistrez à nouveau après la mise à niveau pour chiffrer la valeur."
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"New Order Status","Statut de nouvelle commande"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Statut après la fin du checkout Magento et avant que JOVEpay confirme le paiement."
"Paid Order Status","Statut de commande payée"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Statut après que JOVEpay confirme les fonds et notifie Magento via IPN."
"Debug","Débogage"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Écrire les messages IPN JOVEpay détaillés dans var/log/jovepay.log."
