"You will be transferred to jovepay.com to complete your purchase when using this payment method.","هنگام استفاده از این روش پرداخت، برای تکمیل خرید به jovepay.com منتقل می‌شوید."
"Pay with JOVEpay","پرداخت با JOVEpay"
"JOVEpay","پرداخت‌های رمزارزی JOVEpay"
"JOVEpay Payment Method","روش پرداخت JOVEpay"
"Continue","ادامه"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","سفارش پس از شکست یا لغو پرداخت JOVEpay لغو شد."
"Order marked canceled after JOVEpay payment failure or cancel.","سفارش پس از شکست یا لغو پرداخت JOVEpay به‌عنوان لغو‌شده علامت‌گذاری شد."
"Invalid signature.","امضای نامعتبر."
"Invalid IPN payload.","بارگذاری IPN نامعتبر."
"Missing order identifier.","شناسه سفارش موجود نیست."
"Order is no longer awaiting payment.","سفارش دیگر در انتظار پرداخت نیست."
"Currency code does not match.","کد ارز مطابقت ندارد."
"Amount paid is less than order total.","مبلغ پرداخت‌شده کمتر از مجموع سفارش است."
"Unable to process IPN.","پردازش IPN ممکن نیست."
"Cannot create an invoice without products.","بدون محصول نمی‌توان فاکتور ایجاد کرد."
"Notified customer about invoice #%1.","مشتری درباره فاکتور #%1 مطلع شد."
"JOVEpay payment status: failed.","وضعیت پرداخت JOVEpay: ناموفق."
"JOVEpay payment status: %1","وضعیت پرداخت JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","خطا در پرداخت!"
"Enabled","فعال"
"Testnet Mode","حالت تست‌نت"
"Enable to process payments on the JOVEpay test network.","برای پردازش پرداخت‌ها در شبکه آزمایشی JOVEpay فعال کنید."
"Dark Mode Checkout","تسویه‌حساب حالت تاریک"
"Use the dark theme on the JOVEpay hosted payment page.","از تم تاریک در صفحه پرداخت میزبانی‌شده JOVEpay استفاده کنید."
"Title","عنوان"
"Payment method title shown to customers at checkout.","عنوان روش پرداخت که هنگام تسویه‌حساب به مشتریان نمایش داده می‌شود."
"Merchant ID","شناسه فروشنده"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","این مورد را در jovepay.com زیر Payment Settings → API Keys بیابید. پس از ارتقا دوباره ذخیره کنید تا مقدار رمزگذاری شود."
"IPN Secret","راز IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","این مورد را در jovepay.com زیر Payment Settings → Instant Payment Notifications بیابید. پس از ارتقا دوباره ذخیره کنید تا مقدار رمزگذاری شود."
"Payment from Applicable Countries","پرداخت از کشورهای قابل‌اعمال"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"New Order Status","وضعیت سفارش جدید"
"Status after Magento checkout completes and before JOVEpay confirms payment.","وضعیت پس از تکمیل تسویه‌حساب Magento و قبل از تأیید پرداخت توسط JOVEpay."
"Paid Order Status","وضعیت سفارش پرداخت‌شده"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","وضعیت پس از تأیید وجوه توسط JOVEpay و اطلاع به Magento از طریق IPN."
"Debug","اشکال‌زدایی"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","پیام‌های تفصیلی IPN مربوط به JOVEpay را در var/log/jovepay.log بنویسید."
