"You will be transferred to jovepay.com to complete your purchase when using this payment method.","Sie werden zu jovepay.com weitergeleitet, um Ihren Kauf mit dieser Zahlungsmethode abzuschließen."
"Pay with JOVEpay","Mit JOVEpay bezahlen"
"JOVEpay","JOVEpay Krypto-Zahlungen"
"JOVEpay Payment Method","JOVEpay-Zahlungsmethode"
"Continue","Weiter"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Bestellung nach Fehler oder Abbruch der JOVEpay-Zahlung storniert."
"Order marked canceled after JOVEpay payment failure or cancel.","Bestellung nach Fehler oder Abbruch der JOVEpay-Zahlung als storniert markiert."
"Invalid signature.","Ungültige Signatur."
"Invalid IPN payload.","Ungültige IPN-Nutzlast."
"Missing order identifier.","Bestellkennung fehlt."
"Order is no longer awaiting payment.","Die Bestellung wartet nicht mehr auf Zahlung."
"Currency code does not match.","Währungscode stimmt nicht überein."
"Amount paid is less than order total.","Der gezahlte Betrag ist niedriger als die Bestellsumme."
"Unable to process IPN.","IPN kann nicht verarbeitet werden."
"Cannot create an invoice without products.","Rechnung kann ohne Produkte nicht erstellt werden."
"Notified customer about invoice #%1.","Kunde über Rechnung #%1 benachrichtigt."
"JOVEpay payment status: failed.","JOVEpay-Zahlungsstatus: fehlgeschlagen."
"JOVEpay payment status: %1","JOVEpay-Zahlungsstatus: %1"
"%1 = %2","%1 = %2"
"Error in payment!","Fehler bei der Zahlung!"
"Enabled","Aktiviert"
"Testnet Mode","Testnet-Modus"
"Enable to process payments on the JOVEpay test network.","Aktivieren, um Zahlungen im JOVEpay-Testnetzwerk zu verarbeiten."
"Dark Mode Checkout","Checkout im Dark Mode"
"Use the dark theme on the JOVEpay hosted payment page.","Dunkles Design auf der gehosteten JOVEpay-Zahlungsseite verwenden."
"Title","Titel"
"Payment method title shown to customers at checkout.","Titel der Zahlungsmethode, der Kunden im Checkout angezeigt wird."
"Merchant ID","Händler-ID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Finden Sie dies auf jovepay.com unter Payment Settings → API Keys. Nach dem Upgrade erneut speichern, um den Wert zu verschlüsseln."
"IPN Secret","IPN-Geheimnis"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Finden Sie dies auf jovepay.com unter Payment Settings → Instant Payment Notifications. Nach dem Upgrade erneut speichern, um den Wert zu verschlüsseln."
"Payment from Applicable Countries","Zahlung aus zutreffenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"New Order Status","Status neuer Bestellung"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Status, nachdem der Magento-Checkout abgeschlossen ist und bevor JOVEpay die Zahlung bestätigt."
"Paid Order Status","Status bezahlter Bestellung"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Status, nachdem JOVEpay die Mittel bestätigt und Magento per IPN benachrichtigt hat."
"Debug","Debug"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Detaillierte JOVEpay-IPN-Meldungen in var/log/jovepay.log schreiben."
