"You will be transferred to jovepay.com to complete your purchase when using this payment method.","При использовании этого способа оплаты вы будете перенаправлены на jovepay.com для завершения покупки."
"Pay with JOVEpay","Оплатить через JOVEpay"
"JOVEpay","Криптоплатежи JOVEpay"
"JOVEpay Payment Method","Способ оплаты JOVEpay"
"Continue","Продолжить"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Заказ отменён после сбоя или отмены платежа JOVEpay."
"Order marked canceled after JOVEpay payment failure or cancel.","Заказ отмечен как отменённый после сбоя или отмены платежа JOVEpay."
"Invalid signature.","Недействительная подпись."
"Invalid IPN payload.","Недействительная полезная нагрузка IPN."
"Missing order identifier.","Отсутствует идентификатор заказа."
"Order is no longer awaiting payment.","Заказ больше не ожидает оплаты."
"Currency code does not match.","Код валюты не совпадает."
"Amount paid is less than order total.","Оплаченная сумма меньше итога заказа."
"Unable to process IPN.","Не удалось обработать IPN."
"Cannot create an invoice without products.","Нельзя создать счёт без товаров."
"Notified customer about invoice #%1.","Клиент уведомлён о счёте #%1."
"JOVEpay payment status: failed.","Статус платежа JOVEpay: неудача."
"JOVEpay payment status: %1","Статус платежа JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","Ошибка оплаты!"
"Enabled","Включено"
"Testnet Mode","Режим Testnet"
"Enable to process payments on the JOVEpay test network.","Включите для обработки платежей в тестовой сети JOVEpay."
"Dark Mode Checkout","Тёмный режим оформления"
"Use the dark theme on the JOVEpay hosted payment page.","Использовать тёмную тему на размещённой странице оплаты JOVEpay."
"Title","Название"
"Payment method title shown to customers at checkout.","Название способа оплаты, отображаемое покупателям при оформлении."
"Merchant ID","ID продавца"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Найдите это на jovepay.com в разделе Payment Settings → API Keys. После обновления сохраните снова, чтобы зашифровать значение."
"IPN Secret","Секрет IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Найдите это на jovepay.com в разделе Payment Settings → Instant Payment Notifications. После обновления сохраните снова, чтобы зашифровать значение."
"Payment from Applicable Countries","Оплата из применимых стран"
"Payment from Specific Countries","Оплата из определённых стран"
"New Order Status","Статус нового заказа"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Статус после завершения оформления Magento и до подтверждения платежа JOVEpay."
"Paid Order Status","Статус оплаченного заказа"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Статус после того, как JOVEpay подтвердит средства и уведомит Magento через IPN."
"Debug","Отладка"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Записывать подробные сообщения IPN JOVEpay в var/log/jovepay.log."
