"You will be transferred to jovepay.com to complete your purchase when using this payment method.","Utaelekezwa kwa jovepay.com kukamilisha ununuzi wako unapotumia njia hii ya malipo."
"Pay with JOVEpay","Lipa kwa JOVEpay"
"JOVEpay","Malipo ya Crypto ya JOVEpay"
"JOVEpay Payment Method","Njia ya Malipo ya JOVEpay"
"Continue","Endelea"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Agizo limeghairiwa baada ya kushindwa au kughairi malipo ya JOVEpay."
"Order marked canceled after JOVEpay payment failure or cancel.","Agizo limewekwa alama kuwa limghairiwa baada ya kushindwa au kughairi malipo ya JOVEpay."
"Invalid signature.","Sahihi batili."
"Invalid IPN payload.","Mzigo wa IPN batili."
"Missing order identifier.","Kitambulisho cha agizo hakipo."
"Order is no longer awaiting payment.","Agizo halingojei tena malipo."
"Currency code does not match.","Msimbo wa sarafu hailingani."
"Amount paid is less than order total.","Kiasi kilicholipwa ni kidogo kuliko jumla ya agizo."
"Unable to process IPN.","Imeshindwa kuchakata IPN."
"Cannot create an invoice without products.","Haiwezi kuunda ankara bila bidhaa."
"Notified customer about invoice #%1.","Mteja amearifiwa kuhusu ankara #%1."
"JOVEpay payment status: failed.","Hali ya malipo ya JOVEpay: imeshindwa."
"JOVEpay payment status: %1","Hali ya malipo ya JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","Hitilafu katika malipo!"
"Enabled","Imewashwa"
"Testnet Mode","Hali ya Testnet"
"Enable to process payments on the JOVEpay test network.","Washa ili kuchakata malipo kwenye mtandao wa majaribio wa JOVEpay."
"Dark Mode Checkout","Malipo katika hali ya giza"
"Use the dark theme on the JOVEpay hosted payment page.","Tumia mandhari ya giza kwenye ukurasa wa malipo unaopangishwa na JOVEpay."
"Title","Kichwa"
"Payment method title shown to customers at checkout.","Kichwa cha njia ya malipo kinachoonyeshwa kwa wateja wakati wa kulipa."
"Merchant ID","Kitambulisho cha Muuzaji"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Pata hii katika jovepay.com chini ya Payment Settings → API Keys. Hifadhi tena baada ya kuboresha ili kusimba thamani."
"IPN Secret","Siri ya IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Pata hii katika jovepay.com chini ya Payment Settings → Instant Payment Notifications. Hifadhi tena baada ya kuboresha ili kusimba thamani."
"Payment from Applicable Countries","Malipo kutoka nchi zinazotumika"
"Payment from Specific Countries","Malipo kutoka nchi mahususi"
"New Order Status","Hali ya agizo jipya"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Hali baada ya malipo ya Magento kukamilika na kabla JOVEpay kuthibitisha malipo."
"Paid Order Status","Hali ya agizo lililolipwa"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Hali baada ya JOVEpay kuthibitisha fedha na kuarifu Magento kupitia IPN."
"Debug","Tatua hitilafu"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Andika ujumbe wa kina wa IPN ya JOVEpay katika var/log/jovepay.log."
