"You will be transferred to jovepay.com to complete your purchase when using this payment method.","Será transferido a jovepay.com para completar su compra al usar este método de pago."
"Pay with JOVEpay","Pagar con JOVEpay"
"JOVEpay","Pagos cripto JOVEpay"
"JOVEpay Payment Method","Método de pago JOVEpay"
"Continue","Continuar"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Pedido cancelado tras fallo o cancelación del pago JOVEpay."
"Order marked canceled after JOVEpay payment failure or cancel.","Pedido marcado como cancelado tras fallo o cancelación del pago JOVEpay."
"Invalid signature.","Firma no válida."
"Invalid IPN payload.","Carga útil de IPN no válida."
"Missing order identifier.","Falta el identificador del pedido."
"Order is no longer awaiting payment.","El pedido ya no está pendiente de pago."
"Currency code does not match.","El código de moneda no coincide."
"Amount paid is less than order total.","El importe pagado es inferior al total del pedido."
"Unable to process IPN.","No se puede procesar la IPN."
"Cannot create an invoice without products.","No se puede crear una factura sin productos."
"Notified customer about invoice #%1.","Cliente notificado sobre la factura #%1."
"JOVEpay payment status: failed.","Estado del pago JOVEpay: fallido."
"JOVEpay payment status: %1","Estado del pago JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","¡Error en el pago!"
"Enabled","Habilitado"
"Testnet Mode","Modo Testnet"
"Enable to process payments on the JOVEpay test network.","Active para procesar pagos en la red de prueba de JOVEpay."
"Dark Mode Checkout","Checkout en modo oscuro"
"Use the dark theme on the JOVEpay hosted payment page.","Usar el tema oscuro en la página de pago alojada de JOVEpay."
"Title","Título"
"Payment method title shown to customers at checkout.","Título del método de pago mostrado a los clientes en el checkout."
"Merchant ID","ID de comerciante"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Encuentre esto en jovepay.com en Payment Settings → API Keys. Vuelva a guardar tras actualizar para cifrar el valor."
"IPN Secret","Secreto IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Encuentre esto en jovepay.com en Payment Settings → Instant Payment Notifications. Vuelva a guardar tras actualizar para cifrar el valor."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"New Order Status","Estado de pedido nuevo"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Estado después de que se complete el checkout de Magento y antes de que JOVEpay confirme el pago."
"Paid Order Status","Estado de pedido pagado"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Estado después de que JOVEpay confirme los fondos y notifique a Magento mediante IPN."
"Debug","Depuración"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Escribir mensajes detallados de IPN de JOVEpay en var/log/jovepay.log."
