"You will be transferred to jovepay.com to complete your purchase when using this payment method.","سيتم نقلك إلى jovepay.com لإكمال عملية الشراء عند استخدام طريقة الدفع هذه."
"Pay with JOVEpay","الدفع عبر JOVEpay"
"JOVEpay","مدفوعات JOVEpay بالعملات المشفرة"
"JOVEpay Payment Method","طريقة دفع JOVEpay"
"Continue","متابعة"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","تم إلغاء الطلب بعد فشل دفع JOVEpay أو إلغائه."
"Order marked canceled after JOVEpay payment failure or cancel.","تم وضع علامة على الطلب كملغى بعد فشل دفع JOVEpay أو إلغائه."
"Invalid signature.","توقيع غير صالح."
"Invalid IPN payload.","حمولة IPN غير صالحة."
"Missing order identifier.","معرّف الطلب مفقود."
"Order is no longer awaiting payment.","الطلب لم يعد بانتظار الدفع."
"Currency code does not match.","رمز العملة غير متطابق."
"Amount paid is less than order total.","المبلغ المدفوع أقل من إجمالي الطلب."
"Unable to process IPN.","تعذر معالجة IPN."
"Cannot create an invoice without products.","لا يمكن إنشاء فاتورة بدون منتجات."
"Notified customer about invoice #%1.","تم إشعار العميل بشأن الفاتورة #%1."
"JOVEpay payment status: failed.","حالة دفع JOVEpay: فشل."
"JOVEpay payment status: %1","حالة دفع JOVEpay: %1"
"%1 = %2","%1 = %2"
"Error in payment!","خطأ في الدفع!"
"Enabled","مُفعّل"
"Testnet Mode","وضع الشبكة التجريبية"
"Enable to process payments on the JOVEpay test network.","فعّل لمعالجة المدفوعات على شبكة اختبار JOVEpay."
"Dark Mode Checkout","الدفع بالوضع الداكن"
"Use the dark theme on the JOVEpay hosted payment page.","استخدم السمة الداكنة في صفحة الدفع المستضافة لدى JOVEpay."
"Title","العنوان"
"Payment method title shown to customers at checkout.","عنوان طريقة الدفع المعروض للعملاء عند الدفع."
"Merchant ID","معرّف التاجر"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","ابحث عن هذا في jovepay.com ضمن Payment Settings → API Keys. أعد الحفظ بعد الترقية لتشفير القيمة."
"IPN Secret","سر IPN"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","ابحث عن هذا في jovepay.com ضمن Payment Settings → Instant Payment Notifications. أعد الحفظ بعد الترقية لتشفير القيمة."
"Payment from Applicable Countries","الدفع من البلدان المنطبقة"
"Payment from Specific Countries","الدفع من بلدان محددة"
"New Order Status","حالة الطلب الجديد"
"Status after Magento checkout completes and before JOVEpay confirms payment.","الحالة بعد اكتمال دفع Magento وقبل تأكيد JOVEpay للدفع."
"Paid Order Status","حالة الطلب المدفوع"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","الحالة بعد أن يؤكد JOVEpay الأموال ويُخطر Magento عبر IPN."
"Debug","تصحيح الأخطاء"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","اكتب رسائل IPN التفصيلية لـ JOVEpay إلى var/log/jovepay.log."
