"You will be transferred to jovepay.com to complete your purchase when using this payment method.","このお支払い方法をご利用の場合、購入を完了するために jovepay.com へ移動します。"
"Pay with JOVEpay","JOVEpayで支払う"
"JOVEpay","JOVEpay暗号決済"
"JOVEpay Payment Method","JOVEpay支払い方法"
"Continue","続行"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","JOVEpayの支払い失敗またはキャンセル後に注文がキャンセルされました。"
"Order marked canceled after JOVEpay payment failure or cancel.","JOVEpayの支払い失敗またはキャンセル後に注文がキャンセル済みとしてマークされました。"
"Invalid signature.","無効な署名です。"
"Invalid IPN payload.","無効なIPNペイロードです。"
"Missing order identifier.","注文識別子がありません。"
"Order is no longer awaiting payment.","注文は支払い待ちではなくなりました。"
"Currency code does not match.","通貨コードが一致しません。"
"Amount paid is less than order total.","支払額が注文合計より少ないです。"
"Unable to process IPN.","IPNを処理できません。"
"Cannot create an invoice without products.","商品なしで請求書を作成できません。"
"Notified customer about invoice #%1.","請求書 #%1 についてお客様に通知しました。"
"JOVEpay payment status: failed.","JOVEpay支払いステータス: 失敗"
"JOVEpay payment status: %1","JOVEpay支払いステータス: %1"
"%1 = %2","%1 = %2"
"Error in payment!","支払いエラーです！"
"Enabled","有効"
"Testnet Mode","テストネットモード"
"Enable to process payments on the JOVEpay test network.","JOVEpayテストネットワークで支払いを処理する場合に有効にします。"
"Dark Mode Checkout","ダークモードチェックアウト"
"Use the dark theme on the JOVEpay hosted payment page.","JOVEpayホスト支払いページでダークテーマを使用します。"
"Title","タイトル"
"Payment method title shown to customers at checkout.","チェックアウト時にお客様に表示される支払い方法のタイトル。"
"Merchant ID","マーチャントID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","jovepay.com の Payment Settings → API Keys で確認できます。アップグレード後に再保存して値を暗号化してください。"
"IPN Secret","IPNシークレット"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","jovepay.com の Payment Settings → Instant Payment Notifications で確認できます。アップグレード後に再保存して値を暗号化してください。"
"Payment from Applicable Countries","適用国からの支払い"
"Payment from Specific Countries","特定の国からの支払い"
"New Order Status","新規注文ステータス"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Magentoチェックアウト完了後、JOVEpayが支払いを確認する前のステータス。"
"Paid Order Status","支払済み注文ステータス"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","JOVEpayが資金を確認し、IPNでMagentoに通知した後のステータス。"
"Debug","デバッグ"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","詳細なJOVEpay IPNメッセージを var/log/jovepay.log に書き込みます。"
